date,open,high,low,close,volume
2015/1/2,111.39,111.44,107.35,109.33,53204600
2015/1/5,108.29,108.65,105.41,106.25,64285500
2015/1/6,106.54,107.43,104.63,106.26,65797100
2015/1/7,107.2,108.2,106.7,107.75,40105900
2015/1/8,109.23,112.15,108.7,111.89,59364500
2015/1/9,112.67,113.25,110.21,112.01,53699500
2015/1/12,112.6,112.63,108.8,109.25,49650800
2015/1/13,111.43,112.8,108.91,110.22,67091900
2015/1/14,109.04,110.49,108.5,109.8,48337000
2015/1/15,110,110.06,106.66,106.82,60014000
2015/1/16,107.03,107.58,105.2,105.99,78513300
2015/1/20,107.84,108.97,106.5,108.72,49899900
2015/1/21,108.95,111.06,108.27,109.55,48575900
2015/1/22,110.26,112.47,109.72,112.4,53796400
2015/1/23,112.3,113.75,111.53,112.98,46464800
2015/1/26,113.74,114.36,112.8,113.1,55615000
2015/1/27,112.42,112.48,109.03,109.14,95568700
2015/1/28,117.63,118.12,115.31,115.31,146477100
2015/1/29,116.32,119.19,115.56,118.9,84436400
2015/1/30,118.4,120,116.85,117.16,83745500
2015/2/2,118.05,119.17,116.08,118.63,62739100
2015/2/3,118.5,119.09,117.61,118.65,51915700
2015/2/4,118.5,120.51,118.31,119.56,70149700
2015/2/5,120.02,120.23,119.25,119.94,42246200
2015/2/6,120.02,120.25,118.45,118.93,43706600
2015/2/9,118.55,119.84,118.43,119.72,38889800
2015/2/10,120.17,122.15,120.16,122.02,62008500
2015/2/11,122.77,124.92,122.5,124.88,73561800
2015/2/12,126.06,127.48,125.57,126.46,74474500
2015/2/13,127.28,127.28,125.65,127.08,54272200
2015/2/17,127.49,128.88,126.92,127.83,63152400
2015/2/18,127.63,128.78,127.45,128.72,44891700
2015/2/19,128.48,129.03,128.33,128.45,37362400
2015/2/20,128.62,129.5,128.05,129.5,48948400
2015/2/23,130.02,133,129.66,133,70974100
2015/2/24,132.94,133.6,131.17,132.17,69228100
2015/2/25,131.56,131.6,128.15,128.79,74711700
2015/2/26,128.79,130.87,126.61,130.42,91287500
2015/2/27,130,130.57,128.24,128.46,62014800
2015/3/2,129.25,130.28,128.3,129.09,48096700
2015/3/3,128.96,129.52,128.09,129.36,37816300
2015/3/4,129.1,129.56,128.32,128.54,31666300
2015/3/5,128.58,128.75,125.76,126.41,56517100
2015/3/6,128.4,129.37,126.26,126.6,72842100
2015/3/9,127.96,129.57,125.06,127.14,88528500
2015/3/10,126.41,127.22,123.8,124.51,68856600
2015/3/11,124.75,124.77,122.11,122.24,68939000
2015/3/12,122.31,124.9,121.63,124.45,48362700
2015/3/13,124.4,125.4,122.58,123.59,51827300
2015/3/16,123.88,124.95,122.87,124.95,35874300
2015/3/17,125.9,127.32,125.65,127.04,51023100
2015/3/18,127,129.16,126.37,128.47,65270900
2015/3/19,128.75,129.25,127.4,127.5,45809500
2015/3/20,128.25,128.4,125.16,125.9,68695100
2015/3/23,127.12,127.85,126.52,127.21,37709700
2015/3/24,127.23,128.04,126.56,126.69,32842300
2015/3/25,126.54,126.82,123.38,123.38,51655200
2015/3/26,122.76,124.88,122.6,124.24,47572900
2015/3/27,124.57,124.7,122.91,123.25,39546200
2015/3/30,124.05,126.4,124,126.37,47099700
2015/3/31,126.09,126.49,124.36,124.43,42090600
2015/4/1,124.82,125.12,123.1,124.25,40621400
2015/4/2,125.03,125.56,124.19,125.32,32220100
2015/4/6,124.47,127.51,124.33,127.35,37194000
2015/4/7,127.64,128.12,125.98,126.01,35012300
2015/4/8,125.85,126.4,124.97,125.6,37329200
2015/4/9,125.85,126.58,124.66,126.56,32484000
2015/4/10,125.95,127.21,125.26,127.1,40188000
2015/4/13,128.37,128.57,126.61,126.85,36365100
2015/4/14,127,127.29,125.91,126.3,25524600
2015/4/15,126.41,127.13,126.01,126.78,28970400
2015/4/16,126.28,127.1,126.11,126.17,28369000
2015/4/17,125.55,126.14,124.46,124.75,51957000
2015/4/20,125.57,128.12,125.17,127.6,47054300
2015/4/21,128.1,128.2,126.67,126.91,32435100
2015/4/22,126.99,128.87,126.32,128.62,37654500
2015/4/23,128.3,130.42,128.14,129.67,45770900
2015/4/24,130.49,130.63,129.23,130.28,44525900
2015/4/27,132.31,133.13,131.15,132.65,96954200
2015/4/28,134.46,134.54,129.57,130.56,118924000
2015/4/29,130.16,131.59,128.3,128.64,63386100
2015/4/30,128.64,128.64,124.58,125.15,83195400
2015/5/1,126.1,130.13,125.3,128.95,58512600
2015/5/4,129.5,130.57,128.26,128.7,50988300
2015/5/5,128.15,128.45,125.78,125.8,49271400
2015/5/6,126.56,126.75,123.36,125.01,72141000
2015/5/7,124.77,126.08,124.02,125.26,43940900
2015/5/8,126.68,127.62,126.11,127.62,55550400
2015/5/11,127.39,127.56,125.63,126.32,42035800
2015/5/12,125.6,126.88,124.82,125.87,48160000
2015/5/13,126.15,127.19,125.87,126.01,34694200
2015/5/14,127.41,128.95,127.16,128.95,45203500
2015/5/15,129.07,129.49,128.21,128.77,38208000
2015/5/18,128.38,130.72,128.36,130.19,50882900
2015/5/19,130.69,130.88,129.64,130.07,44633200
2015/5/20,130,130.98,129.34,130.06,36454900
2015/5/21,130.07,131.63,129.83,131.39,39730400
2015/5/22,131.6,132.97,131.4,132.54,45596000
2015/5/26,132.6,132.91,129.12,129.62,70697600
2015/5/27,130.34,132.26,130.05,132.04,45833200
2015/5/28,131.86,131.95,131.1,131.78,30733300
2015/5/29,131.23,131.45,129.9,130.28,50884500
2015/6/1,130.28,131.39,130.05,130.54,32112800
2015/6/2,129.86,130.66,129.32,129.96,33667600
2015/6/3,130.66,130.94,129.9,130.12,30889400
2015/6/4,129.58,130.58,128.91,129.36,38450100
2015/6/5,129.5,129.69,128.36,128.65,35626800
2015/6/8,128.9,129.21,126.83,127.8,52674800
